year,quarter,cik,accession,company_name,form_type,date_filed,contract_link,exhibit,exhibit_lead,content_type,label,parties,parties_raw,image_count,ocr_labeled,amend,restate,joinder,termination,archive_name
2011,QTR4,107687,000010768711000049,WINNEBAGO INDUSTRIES INC,10-K,2011-10-25,https://mcc.law.stanford.edu/data/107687/000010768711000049/exh10wexecchangeofcontrol.pdf,EX-10.W,EX-10,application/pdf,employment,"[""donald l heidemann"",""winnebago industries inc""]","[""donald l heidemann"",""winnebago industries inc""]",0,false,false,false,false,false,107687/000010768711000049/exh10wexecchangeofcontrol.pdf
2012,QTR4,107687,000010768712000041,WINNEBAGO INDUSTRIES INC,10-K,2012-10-23,https://mcc.law.stanford.edu/data/107687/000010768712000041/exh10vdegnanexecutivechangeo.pdf,EX-10,EX-10,application/pdf,employment,"[""s scott degnan"",""winnebago industries inc""]","[""s scott degnan"",""winnebago industries inc""]",0,false,false,false,false,false,107687/000010768712000041/exh10vdegnanexecutivechangeo.pdf
2015,QTR1,107687,000010768715000002,WINNEBAGO INDUSTRIES INC,8-K,2015-01-16,https://mcc.law.stanford.edu/data/107687/000010768715000002/wgoexh992changeofcontrolwood.pdf,EX-99.2,EX-99,application/pdf,employment,"[""bret woodson"",""winnebago industries inc""]","[""bret woodson"",""winnebago industries inc""]",0,false,false,false,false,false,107687/000010768715000002/wgoexh992changeofcontrolwood.pdf
2024,QTR2,1107421,000095017024060075,"Alaunos Therapeutics, Inc.",10-Q,2024-05-15,https://mcc.law.stanford.edu/data/1107421/000095017024060075/tcrt-ex10_1.pdf,,,application/pdf,employment,"[""alaunos therapeutics inc"",""dale curtis hogue""]","[""alaunos therapeutics inc"",""dale curtis hogue""]",0,false,false,false,false,false,1107421/000095017024060075/tcrt-ex10_1.pdf
2024,QTR4,1160308,000095017024125292,Savara Inc,10-Q,2024-11-12,https://mcc.law.stanford.edu/data/1160308/000095017024125292/svra-ex10_2.pdf,,,application/pdf,employment,"[""savara inc""]","[""savara inc""]",0,false,false,false,false,false,1160308/000095017024125292/svra-ex10_2.pdf
2024,QTR4,1160308,000095017024125292,Savara Inc,10-Q,2024-11-12,https://mcc.law.stanford.edu/data/1160308/000095017024125292/svra-ex10_3.pdf,,,application/pdf,employment,"[""savara inc""]","[""savara inc""]",0,false,false,false,false,false,1160308/000095017024125292/svra-ex10_3.pdf
2024,QTR4,1160308,000095017024125292,Savara Inc,10-Q,2024-11-12,https://mcc.law.stanford.edu/data/1160308/000095017024125292/svra-ex10_4.pdf,,,application/pdf,employment,"[""savara inc""]","[""savara inc""]",0,false,false,false,false,false,1160308/000095017024125292/svra-ex10_4.pdf
2011,QTR3,1216596,000121659611000027,NORTEK INC,8-K,2011-07-05,https://mcc.law.stanford.edu/data/1216596/000121659611000027/ex101r1.pdf,EX-10.1,EX-10,application/pdf,employment,"[""nortek inc"",""richard l bready""]","[""nortek inc"",""richard l bready""]",0,false,false,false,false,false,1216596/000121659611000027/ex101r1.pdf
2011,QTR3,1216596,000121659611000039,NORTEK INC,8-K,2011-08-24,https://mcc.law.stanford.edu/data/1216596/000121659611000039/befseparationagreementr2.pdf,EX-10.1,EX-10,application/pdf,employment,"[""bruce fleming"",""nortek inc""]","[""bruce e fleming"",""bruce fleming"",""nortek inc""]",0,false,false,false,false,false,1216596/000121659611000039/befseparationagreementr2.pdf
2022,QTR3,1420565,000095017022017372,AILERON THERAPEUTICS INC,10-Q,2022-08-15,https://mcc.law.stanford.edu/data/1420565/000095017022017372/alrn-ex10_1.pdf,,,application/pdf,employment,"[""aileron therapeutics inc"",""vojislav vukovic""]","[""aileron therapeutics inc"",""vojislav vukovic""]",0,false,false,false,false,false,1420565/000095017022017372/alrn-ex10_1.pdf
2023,QTR3,1445499,000095017023043366,IMPEL PHARMACEUTICALS INC,10-Q,2023-08-18,https://mcc.law.stanford.edu/data/1445499/000095017023043366/impl-ex10_1.pdf,,,application/pdf,employment,"[""impel pharmaceuticals inc"",""michael kalb""]","[""impel pharmaceuticals inc"",""michael kalb""]",0,false,false,false,false,false,1445499/000095017023043366/impl-ex10_1.pdf
2025,QTR3,1459839,000145983925000076,"SI-BONE, Inc.",10-Q,2025-08-05,https://mcc.law.stanford.edu/data/1459839/000145983925000076/sibn-ex104.pdf,,,application/pdf,employment,"[""anthony j recupero"",""si-bone inc"",""si-bonecom"",""tony""]","[""anthony j recupero"",""si-bone inc"",""si-bonecom"",""tony""]",0,false,false,false,false,false,1459839/000145983925000076/sibn-ex104.pdf
2024,QTR2,1609065,000095017024070377,"Pathfinder Bancorp, Inc.",8-K,2024-06-07,https://mcc.law.stanford.edu/data/1609065/000095017024070377/pbhc-ex10_1.pdf,,,application/pdf,employment,"[""pathfinder bancorp inc"",""pathfinder bank""]","[""pathfinder bancorp inc"",""pathfinder bank""]",0,false,false,false,false,false,1609065/000095017024070377/pbhc-ex10_1.pdf
2024,QTR1,1674862,000095017024009280,ASHLAND INC.,10-Q,2024-01-31,https://mcc.law.stanford.edu/data/1674862/000095017024009280/ash-ex10_3.pdf,,,application/pdf,employment,"[""ashland inc"",""guillermo novo""]","[""ashland inc"",""guillermo novo""]",0,false,false,false,false,false,1674862/000095017024009280/ash-ex10_3.pdf
2024,QTR4,1799448,000095017024122371,"Aligos Therapeutics, Inc.",10-Q,2024-11-06,https://mcc.law.stanford.edu/data/1799448/000095017024122371/algs-ex10_2.pdf,,,application/pdf,employment,"[""aligos therapeutics inc"",""hardean achneck""]","[""aligos therapeutics inc"",""hardean achneck""]",0,false,false,false,false,false,1799448/000095017024122371/algs-ex10_2.pdf
2009,QTR2,18672,000108981909000016,CLECO POWER LLC,10-Q,2009-05-06,https://mcc.law.stanford.edu/data/18672/000108981909000016/exhibit103.pdf,EX-10.3,EX-10,application/pdf,employment,"[""cleco energy llc"",""cleco power llc""]","[""cleco energy llc"",""cleco power llc""]",0,false,true,false,false,false,18672/000108981909000016/exhibit103.pdf
2004,QTR4,21076,000002107604000094,CLOROX CO  DE ,10-Q,2004-11-04,https://mcc.law.stanford.edu/data/21076/000002107604000094/ex10-4.pdf,EX-10,EX-10,application/pdf,employment,"[""clorox co de"",""clorox company""]","[""clorox co de"",""clorox company""]",0,false,true,true,false,false,21076/000002107604000094/ex10-4.pdf
2002,QTR3,32258,000003225802000065,TITAN CORP,8-K,2002-08-14,https://mcc.law.stanford.edu/data/32258/000003225802000065/sl_murrayst.pdf,EX-10.5,EX-10,application/pdf,employment,"[""cloverleaf cold storage co"",""surebeam corporation"",""titan corp"",""titan corporation""]","[""cloverleaf cold storage co"",""surebeam corporation"",""titan corp"",""titan corporation""]",0,false,false,false,false,false,32258/000003225802000065/sl_murrayst.pdf
2024,QTR1,37472,000095017024003938,FLEXSTEEL INDUSTRIES INC,8-K,2024-01-11,https://mcc.law.stanford.edu/data/37472/000095017024003938/flxs-ex10_1.pdf,,,application/pdf,employment,"[""flexsteel industries inc"",""ressler""]","[""flexsteel industries inc"",""ressler""]",0,false,false,false,false,false,37472/000095017024003938/flxs-ex10_1.pdf
2013,QTR3,49826,000004982613000050,ILLINOIS TOOL WORKS INC,8-K,2013-08-09,https://mcc.law.stanford.edu/data/49826/000004982613000050/itwexhibit101.pdf,EX-10.1,EX-10,application/pdf,employment,"[""illinois tool works inc"",""itw"",""ronald kropp""]","[""illinois tool works inc"",""itw"",""ronald kropp""]",0,false,false,false,false,false,49826/000004982613000050/itwexhibit101.pdf
2013,QTR3,49826,000004982613000050,ILLINOIS TOOL WORKS INC,8-K,2013-08-09,https://mcc.law.stanford.edu/data/49826/000004982613000050/itwexhibit102.pdf,EX-10.2,EX-10,application/pdf,employment,"[""illinois tool works inc"",""ronald d kropp""]","[""illinois tool works inc"",""ronald d kropp""]",0,false,false,false,false,false,49826/000004982613000050/itwexhibit102.pdf
2008,QTR2,704051,000070405108000088,LEGG MASON INC,8-K,2008-06-30,https://mcc.law.stanford.edu/data/704051/000070405108000088/exhibit10_1pdf.pdf,EX-10.1,EX-10,application/pdf,employment,"[""legg mason inc"",""legg mason partners money market trust"",""lm capital support v llc"",""lmsub"",""western asset money market fund""]","[""legg mason inc"",""legg mason partners money market trust"",""lm capital support v llc"",""lmsub"",""western asset money market fund""]",0,false,false,false,false,false,704051/000070405108000088/exhibit10_1pdf.pdf
2025,QTR2,706129,000070612925000073,HORIZON BANCORP INC /IN/,8-K,2025-04-17,https://mcc.law.stanford.edu/data/706129/000070612925000073/amendedformofrestrictedsto.pdf,,,application/pdf,employment,"[""horizon bancorp inc in""]","[""horizon bancorp inc /in/""]",0,false,false,false,false,false,706129/000070612925000073/amendedformofrestrictedsto.pdf
2012,QTR4,743316,000074331612000036,MAXIM INTEGRATED PRODUCTS INC,10-Q,2012-10-26,https://mcc.law.stanford.edu/data/743316/000074331612000036/ex1025092912.pdf,EX-10.25,EX-10,application/pdf,employment,"[""maxim integrated products inc""]","[""maxim integrated products inc""]",0,false,false,false,false,false,743316/000074331612000036/ex1025092912.pdf
2014,QTR4,743316,000074331614000043,MAXIM INTEGRATED PRODUCTS INC,10-Q,2014-10-24,https://mcc.law.stanford.edu/data/743316/000074331614000043/ex103q115.pdf,EX-10.3,EX-10,application/pdf,employment,"[""maxim integrated products inc""]","[""maxim integrated products inc""]",0,false,false,false,false,false,743316/000074331614000043/ex103q115.pdf
2010,QTR3,743316,000144530510000890,MAXIM INTEGRATED PRODUCTS INC,10-K,2010-08-19,https://mcc.law.stanford.edu/data/743316/000144530510000890/ex1049062610.pdf,EX-10.49,EX-10,application/pdf,employment,"[""maxim integrated products inc""]","[""maxim integrated products inc""]",0,false,false,false,false,false,743316/000144530510000890/ex1049062610.pdf
2010,QTR3,743316,000144530510000890,MAXIM INTEGRATED PRODUCTS INC,10-K,2010-08-19,https://mcc.law.stanford.edu/data/743316/000144530510000890/ex1050062610.pdf,EX-10.50,EX-10,application/pdf,employment,"[""maxim integrated products inc""]","[""maxim integrated products inc""]",0,false,false,false,false,false,743316/000144530510000890/ex1050062610.pdf
2010,QTR3,743316,000144530510000890,MAXIM INTEGRATED PRODUCTS INC,10-K,2010-08-19,https://mcc.law.stanford.edu/data/743316/000144530510000890/ex1051062610.pdf,EX-10.51,EX-10,application/pdf,employment,"[""maxim integrated products inc"",""parents board of directors""]","[""maxim integrated products inc"",""parent's board of directors""]",0,false,false,false,false,false,743316/000144530510000890/ex1051062610.pdf
2025,QTR2,765880,000162828025020273,"HEALTHPEAK PROPERTIES, INC.",8-K,2025-04-28,https://mcc.law.stanford.edu/data/765880/000162828025020273/espp.pdf,,,application/pdf,employment,"[""healthpeak properties inc""]","[""healthpeak properties inc""]",0,false,false,false,false,false,765880/000162828025020273/espp.pdf
2001,QTR1,790362,000095015201001846,NATIONAL BANCSHARES CORP  OH ,10-K,2001-03-29,https://mcc.law.stanford.edu/data/790362/000095015201001846/l86945aex10-2pdf.pdf,EX-10.2,EX-10,application/pdf,employment,"[""charles j dolezal"",""frost national bank"",""national bankshares inc""]","[""charles j dolezal"",""first national bank"",""national bancshares corp oh""]",0,false,false,false,false,false,790362/000095015201001846/l86945aex10-2pdf.pdf
2024,QTR2,827876,000095017024055968,"CLEANSPARK, INC.",8-K,2024-05-09,https://mcc.law.stanford.edu/data/827876/000095017024055968/clsk-ex10_1.pdf,,,application/pdf,employment,"[""cleanspark inc"",""scott garrison""]","[""cleanspark inc"",""scott garrison""]",0,false,false,false,false,false,827876/000095017024055968/clsk-ex10_1.pdf
2024,QTR2,827876,000095017024055968,"CLEANSPARK, INC.",8-K,2024-05-09,https://mcc.law.stanford.edu/data/827876/000095017024055968/clsk-ex10_2.pdf,,,application/pdf,employment,"[""cleanspark inc"",""taylor monnig""]","[""cleanspark inc"",""taylor monnig""]",0,false,false,false,false,false,827876/000095017024055968/clsk-ex10_2.pdf
